銀行代號,分支機構代號,金融機構名稱,分支機構名稱,地址,lat,lng
12,7820,台北富邦商業銀行,竹南分行,苗栗縣竹南鎮華東街52號,24.700921899999997,120.87860259999998
12,7831,台北富邦商業銀行,虎尾分行,雲林縣虎尾鎮光復路391號,23.709779,120.4378037
13,17,國泰世華商業銀行,館前分行,台北市中正區館前路65號,25.044228600000004,121.5151745
13,28,國泰世華商業銀行,環球交易服務部,台北市中正區館前路65號,25.044228600000004,121.5151745
13,39,國泰世華商業銀行,南京東路分行,台北市中山區南京東路二段132號,25.051731,121.533697
13,51,國泰世華商業銀行,高雄分行,高雄市三民區博愛一路366號,22.6506979,120.3038248
13,62,國泰世華商業銀行,台中分行,台中市西區自由路一段148號,24.1372682,120.6794918
13,73,國泰世華商業銀行,台北分行,台北市中正區博愛路77號,25.0436045,121.51170790000002
13,95,國泰世華商業銀行,永和分行,新北市永和區永和路一段15號,25.005616,121.512877
13,109,國泰世華商業銀行,台南分行,台南市中西區民生路一段62號,22.9933859,120.20321570000002
13,110,國泰世華商業銀行,忠孝分行,台北市大安區忠孝東路四段293號,25.0416415,121.5549798
13,121,國泰世華商業銀行,天母分行,台北市士林區天母西路24號,25.1183093,121.5269048
13,132,國泰世華商業銀行,西台中分行,台中市西區民權路185號,24.1455852,120.6709432
13,143,國泰世華商業銀行,東高雄分行,高雄市苓雅區中正二路72號,22.6304453,120.3186557
13,154,國泰世華商業銀行,信義分行,台北市大安區敦化南路二段32號,25.031952,121.548333
13,165,國泰世華商業銀行,光復分行,台北市松山區南京東路五段99號,25.0516772,121.5604827
13,176,國泰世華商業銀行,板橋分行,新北市板橋區中正路102號,25.0152769,121.456701
13,187,國泰世華商業銀行,復興分行,台北市松山區南京東路三段248號,25.051462,121.5445486
13,198,國泰世華商業銀行,民權分行,台北市松山區民權東路三段144號,25.061756,121.547273
13,202,國泰世華商業銀行,大安分行,台北市大安區仁愛路四段33號,25.0382532,121.5459167
13,213,國泰世華商業銀行,三重分行,新北市三重區重陽路二段29號,25.0627853,121.4873505
13,224,國泰世華商業銀行,中壢分行,桃園市中壢區中央西路一段11號,24.957177,121.223057
13,235,國泰世華商業銀行,員林分行,彰化縣員林市中山路二段320號,23.967698,120.571488
13,246,國泰世華商業銀行,新店分行,新北市新店區中正路542號,24.9851,121.5337539
13,2169,國泰世華商業銀行,福和分行,新北市永和區福和路353之1號,25.0072699,121.5146893
13,2170,國泰世華商業銀行,四維分行,高雄市苓雅區四維四路7號,22.616279,120.3017291
13,2181,國泰世華商業銀行,營業部,台北市信義區松仁路7號,25.0382555,121.5691563
13,2206,國泰世華商業銀行,重新分行,新北市三重區重新路4段87號,25.0557679,121.486197
13,2217,國泰世華商業銀行,北中壢分行,桃園市中壢區慈惠三街129號,24.9634057,121.22540929999998
13,2228,國泰世華商業銀行,城東分行,台北市松山區南京東路4段126號,25.0514056,121.5553512
13,2239,國泰世華商業銀行,建國分行,台北市中山區南京東路3段132號,25.0515352,121.540962
13,2251,國泰世華商業銀行,學府分行,新北市土城區學府路1段122號,24.9875371,121.4552838
13,2262,國泰世華商業銀行,北新分行,新北市新店區中正路190號,24.9723524,121.5407883
13,2273,國泰世華商業銀行,信安分行,台北市大安區信義路3段149號,25.0336308,121.5422027
13,2295,國泰世華商業銀行,文德分行,台北市內湖區成功路3段174巷12號,25.0811869,121.5903814
13,2321,國泰世華商業銀行,公益分行,台中市南屯區公益路2段53號,24.1505299,120.6511814
13,2332,國泰世華商業銀行,水湳分行,台中市西屯區中清路2段215號,24.1777874,120.6687785
13,2343,國泰世華商業銀行,市政分行,台中市西屯區市政北三路31號,24.1592376,120.6459469
13,2354,國泰世華商業銀行,東台中分行,台中市東區建成路735號,24.130386,120.687901
13,2365,國泰世華商業銀行,昌平分行,台中市北屯區昌平路二段36之1號,24.181590300000003,120.688604
13,2376,國泰世華商業銀行,健行分行,台中市北區健行路590號,24.15946,120.677151
13,2398,國泰世華商業銀行,西屯分行,台中市西屯區朝富路217、219號,24.1625568,120.635368
13,2402,國泰世華商業銀行,南屯分行,台中市西區五權路1之128號,24.1491606,120.6747378
13,2413,國泰世華商業銀行,崇德分行,台中市北屯區崇德路二段128號,24.1710339,120.68562
