裝設金融機構代號,裝設金融機構名稱,裝設地點,裝設縣市,裝設地址,lat,lng
4,臺灣銀行,第一航廈入境大廳一樓北側,桃園市,桃園市大園區航站南路15號,25.077863699999998,121.2359584
4,臺灣銀行,第二航廈5樓出境大廳,桃園市,桃園市大園區航站南路15號,25.077863699999998,121.2359584
4,臺灣銀行,新明分行,桃園市,桃園市中壢區新明路7號,24.956750699999997,121.2142972
4,臺灣銀行,新明分行行內,桃園市,桃園市中壢區新明路7號,24.956750699999997,121.2142972
4,臺灣銀行,遠翔航空貨運公司,桃園市,桃園市大園區航翔路101號,25.097952,121.2548833
4,臺灣銀行,遠雄航空自由貿易港區,桃園市,桃園市大園區航翔路7號,25.0919333,121.25414280000001
4,臺灣銀行,衛福部桃園醫院,桃園市,桃園市桃園區中山路1492號,24.97770310000001,121.26919109999999
4,臺灣銀行,龍潭分行,桃園市,桃園市龍潭區東龍路142號,24.862667899999998,121.21513300000001
4,臺灣銀行,中華電信苗栗營運處,苗栗縣,苗栗縣苗栗市愛國路1號,24.5395265,120.8178076
4,臺灣銀行,法務部矯正署苗栗看守所,苗栗縣,苗栗縣苗栗市南勢里20鄰南勢100號,24.521743,120.78798
4,臺灣銀行,苗栗分行,苗栗縣,苗栗縣苗栗市中正路510號,24.558881200000002,120.8209135
4,臺灣銀行,苗栗地方法院,苗栗縣,苗栗縣苗栗市中正路1149號,24.5463934,120.81648770000001
4,臺灣銀行,苗栗縣政府,苗栗縣,苗栗縣苗栗市縣府路120號,24.564999,120.81916000000001
4,臺灣銀行,頭份分行,苗栗縣,苗栗縣頭份市中正路65號,24.6851158,120.90802250000002
4,臺灣銀行,頭份分行-無人銀行,苗栗縣,苗栗縣頭份市中正路65號,24.6851158,120.90802250000002
4,臺灣銀行,聯合大學,苗栗縣,苗栗縣苗栗市恭敬里聯大1號,24.545804399999998,120.81232
4,臺灣銀行,聯合大學八甲校區,苗栗縣,苗栗縣苗栗市南勢里聯大2號,24.5357034,120.79186409999998
4,臺灣銀行,上銀科技股份有限公司,台中市,台中市南屯區精科路7號,24.1459491,120.60207630000001
4,臺灣銀行,大甲分行,台中市,台中市大甲區民生路61號,24.347661499999997,120.62462790000001
4,臺灣銀行,大里分行,台中市,台中市大里區國光路二段481號,24.110962899999997,120.67913300000001
4,臺灣銀行,大雅分行,台中市,台中市大雅區中清路三段1080號,24.221912300000003,120.6472239
4,臺灣銀行,大銀微系統公司,台中市,台中市南屯區精科中路6號,24.1451549,120.6000195
4,臺灣銀行,中台科技大學,台中市,台中市北屯區?子路666號,24.173734,120.7351321
4,臺灣銀行,中部國際機場,台中市,台中市沙鹿區中航路一段168號,24.2557805,120.6003898
4,臺灣銀行,中港分行-無人銀行,台中市,台中市梧棲區四維路2號,24.2593302,120.5365528
4,臺灣銀行,中華電信中區分公司,台中市,台中市大里區大智路727號,24.118819000000002,120.685254
4,臺灣銀行,中華電信南台中營運處,台中市,台中市西區市府路37號,24.1375174,120.6775602
4,臺灣銀行,公賣局台中酒廠,台中市,台中市西屯區工業區二十八路2號,24.1648084,120.59910190000001
4,臺灣銀行,太平分行,台中市,台中市太平區中興東路146號,24.1308103,120.72163590000002
4,臺灣銀行,水湳分行,台中市,台中市北屯區崇德路二段416號,24.178729,120.686163
4,臺灣銀行,水湳分行(外幣),台中市,台中市北屯區崇德路二段416號,24.178729,120.686163
4,臺灣銀行,水湳分行-無人銀行,台中市,台中市北屯區崇德路二段416號,24.178729,120.686163
4,臺灣銀行,北臺中分行,台中市,台中市北區進化北路369號,24.163057300000002,120.67863670000001
4,臺灣銀行,北臺中分行,台中市,台中市北區進化北路369號,24.163057300000002,120.67863670000001
4,臺灣銀行,台中工業區分行,台中市,台中市西屯區工業區一路196號,24.1734082,120.6134279
4,臺灣銀行,台中分行-外幣,台中市,台中市西區自由路一段140號,24.136405899999996,120.67864490000001
4,臺灣銀行,台中分行營業廳,台中市,台中市西區自由路一段140號,24.136405899999996,120.67864490000001
4,臺灣銀行,台中市政府惠中樓(行內),台中市,台中市西屯區台灣大道3段99號,24.161886,120.6467736
4,臺灣銀行,台中市政府陽明大樓,台中市,台中市豐原區陽明街36號,24.246738399999998,120.72062290000001
4,臺灣銀行,台中市豐原區公所,台中市,台中市豐原區市政路2號,24.24193630000001,120.7182037
4,臺灣銀行,台中科學博物館,台中市,台中市北區館前路1號,24.157255499999998,120.6661841
4,臺灣銀行,台中港酒店,台中市,台中市梧棲區大智路2段388號,24.260259,120.53373700000002
4,臺灣銀行,台中縣稅捐稽徵處,台中市,台中市豐原區中山路219號,24.2422552,120.7128583
4,臺灣銀行,台灣省咨議會,台中市,台中市霧峰區中正路734號,24.0569632,120.6978583
4,臺灣銀行,台灣康寧顯示玻璃(股)公司台中分公司,台中市,台中市西屯區科園路1號,24.2013126,120.6177598
4,臺灣銀行,西屯分行,台中市,台中市西屯區青海路2段41號,24.1664581,120.6505506
4,臺灣銀行,西屯分行,台中市,台中市西屯區青海路二段41號,24.1664581,120.6505506
4,臺灣銀行,林新綜合醫院,台中市,台中市南屯區惠中路三段36號,24.149012600000002,120.64034790000001
4,臺灣銀行,林新綜合醫院,台中市,台中市烏日區榮和路168號,24.1106491,120.59789409999999
4,臺灣銀行,海關大樓收稅處,台中市,台中市梧棲區中棲路三段2號,24.255889,120.523853
4,臺灣銀行,健行分行,台中市,台中市中區台灣大道一段276號,24.1415385,120.6808827
4,臺灣銀行,國立台中教育大學,台中市,台中市西區民生路140號,24.1437629,120.67051299999999
4,臺灣銀行,教育部中部辦公室,台中市,台中市霧峰區中正路738-4號,24.058357100000002,120.69840559999999
4,臺灣銀行,梧棲分行,台中市,台中市梧棲區建五路2號,24.236745499999998,120.515
4,臺灣銀行,復興分行,台中市,台中市東區復興路四段102號,24.1354144,120.68553899999999
4,臺灣銀行,順天商業大樓,台中市,台中市西屯區文心路2段201號,24.1598648,120.647223
4,臺灣銀行,漢翔航空公司,台中市,台中市西屯區漢翔路1號,24.1852178,120.64176499999999
4,臺灣銀行,臺中工業區分行,台中市,台中市西屯區工業區一路196號,24.1734082,120.6134279
4,臺灣銀行,臺中分行,台中市,台中市西區自由路1段140號,24.136405899999996,120.67864490000001
4,臺灣銀行,臺中分行,台中市,台中市西區自由路一段140號,24.136405899999996,120.67864490000001
4,臺灣銀行,臺中市地方稅務局文心分局,台中市,台中市西屯區文心路2段99號,24.158677899999997,120.6462029
4,臺灣銀行,臺中市政府文心樓,台中市,台中市西屯區台灣大道3段99號,24.161886,120.6467736
4,臺灣銀行,臺中市議會,台中市,台中市西屯區市政北一路56號,24.1585833,120.64470659999999
4,臺灣銀行,臺中科學園區分行,台中市,台中市大雅區中科路6號,24.2097656,120.6185631
4,臺灣銀行,臺中精密園區分行,台中市,台中市南屯區精科東路17號,24.14722,120.6065632
4,臺灣銀行,臺銀人壽臺中分公司,台中市,台中市西區民權路95號,24.1382635,120.6792848
4,臺灣銀行,臺灣高等法院台中分院,台中市,台中市南區五權南路99號,24.1274609,120.669075
4,臺灣銀行,德芳分行,台中市,台中市大里區德芳路一段63號,24.113020499999998,120.6902669
4,臺灣銀行,潭子分行,台中市,台中市潭子區建國路1號,24.217547800000002,120.7051467
4,臺灣銀行,黎明分行-無人銀行,台中市,台中市南屯區大業路607號,24.1535737,120.63347549999999
4,臺灣銀行,豐原分行,台中市,台中市豐原區中正路302號,24.251175699999997,120.71424420000001
4,臺灣銀行,群創光電公司,台南市,台南市新市區紫楝路21號,23.1007961,120.2624638
4,臺灣銀行,群創光電公司,台南市,台南市新市區環西路一段3號,23.090159600000003,120.2774192
4,臺灣銀行,臺南分行,台南市,台南市中西區府前路一段155號,22.9889112,120.2066098
4,臺灣銀行,臺南分行營業廳,台南市,台南市中西區府前路一段155號,22.9889112,120.2066098
4,臺灣銀行,臺南市政府財政稅務局,台南市,台南市中西區忠義路一段96號,22.987847199999997,120.20207759999998
4,臺灣銀行,高雄科學園區分行,高雄市,高雄市路竹區路科五路23號,22.831205999999998,120.2557108
4,臺灣銀行,高雄機場分行國內線營業廳,高雄市,高雄市小港區中山四路2號,22.571227899999997,120.3404126
4,臺灣銀行,高榮分行,高雄市,高雄市左營區重信路415號,22.6829225,120.3113007
4,臺灣銀行,國內線候機室,高雄市,高雄市小港區中山四路2號,22.571227899999997,120.3404126
4,臺灣銀行,統一夢時代購物中心,高雄市,高雄市前鎮區中華五路789號,22.594904100000004,120.30661129999999
4,臺灣銀行,博愛分行,高雄市,高雄市左營區裕誠路394號,22.665670600000002,120.30634199999999
4,臺灣銀行,新興分行,高雄市,高雄市新興區民族二路133號,22.6342444,120.3130615
4,臺灣銀行,楠梓分行,高雄市,高雄市楠梓區楠梓路201號,22.732272000000002,120.327978
4,臺灣銀行,楠梓分行,高雄市,高雄市楠梓區楠梓路201號,22.732272000000002,120.327978
4,臺灣銀行,義大世界3F影城,高雄市,高雄市大樹區學城路1段12號,22.7303876,120.402402
4,臺灣銀行,義大世界B遊樂大廳,高雄市,高雄市大樹區學城路1段12號,22.7303876,120.402402
4,臺灣銀行,鼓山分行,高雄市,高雄市鼓山區臨海一路23號,22.6228148,120.27449399999999
4,臺灣銀行,漢來國際飯店,高雄市,高雄市前金區成功一路266號,22.619480199999998,120.2966243
4,臺灣銀行,漢神百貨,高雄市,高雄市前金區成功一路266號,22.619480199999998,120.2966243
4,臺灣銀行,鳳山分行,高雄市,高雄市鳳山區曹公路20號,22.6291586,120.3572368
4,臺灣銀行,鳳山分行-無人銀行,高雄市,高雄市鳳山區曹公路20號,22.6291586,120.3572368
4,臺灣銀行,鳳山商工職業學校,高雄市,高雄市鳳山區文衡路51號,22.634184899999997,120.35803
4,臺灣銀行,中屏分行,屏東縣,屏東縣屏東市中華路9號,22.6716168,120.4895675
4,臺灣銀行,東港分行,屏東縣,屏東縣東港鎮新勝街105號,22.4672221,120.45289380000001
4,臺灣銀行,屏東分行,屏東縣,屏東縣屏東市中山路43號,22.672495,120.485704
4,臺灣銀行,屏東地政事務所,屏東縣,屏東縣屏東市自由路529號,22.682966600000004,120.48700649999999
4,臺灣銀行,屏東農科園區分行,屏東縣,屏東縣長治鄉德和村農科路23號,22.7127719,120.537136
4,臺灣銀行,國立屏東大學民生校區,屏東縣,屏東縣屏東市民生路4號,22.66224,120.507475
4,臺灣銀行,國立屏東商專,屏東縣,屏東縣屏東市民生東路51號,22.6572879,120.51077269999999
4,臺灣銀行,潮州分行,屏東縣,屏東縣潮州鎮新生路13-2號,22.5471599,120.53746129999999
4,臺灣銀行,臺東分行,台東縣,台東縣台東市中華路一段373號,22.7542029,121.15320530000001
4,臺灣銀行,臺東縣政府,台東縣,台東縣台東市中山路276號,22.755377399999997,121.15058619999999
4,臺灣銀行,北花蓮分行,花蓮縣,花蓮縣花蓮市林森路281號,23.9796044,121.60241459999999
4,臺灣銀行,花蓮分行,花蓮縣,花蓮縣花蓮市公園路3號,23.976941500000002,121.6105533
4,臺灣銀行,健保局東區分局,花蓮縣,花蓮縣花蓮市軒轅路36號,23.9765421,121.61196059999999
4,臺灣銀行,台電尖山發電廠,澎湖縣,澎湖縣湖西鄉尖山村29-2號,23.5635989,119.6586629
4,臺灣銀行,馬公中學,澎湖縣,澎湖縣馬公市中華路369號,23.571016,119.580909
4,臺灣銀行,澎湖分行,澎湖縣,澎湖縣馬公市仁愛路24號,23.5654674,119.56634240000001
4,臺灣銀行,衛福部澎湖醫院,澎湖縣,澎湖縣馬公市中正路10號,23.5643306,119.5657456
4,臺灣銀行,大同3C金城營業處,金門縣,金門縣金城鎮民權路156號,24.4366244,118.3177455
