公司名稱,分公司名稱,分公司地址,lat,lng
全聯實業股份有限公司,三峽北大分公司,新北市樹林區學勤路209、211號,24.9477031,121.3778181
統一超商股份有限公司,台中市第七四六分公司,臺中市東區復興路五段142號,24.144598,120.6894514
統一超商股份有限公司,新北市第一四六六分公司,新北市三峽區學成路333號1樓,24.9449719,121.3767035
統一超商股份有限公司,苗栗縣第一八三分公司,苗栗縣竹南鎮復興路380號1樓,24.6879736,120.8611461
統一超商股份有限公司,台南市第四四０分公司,臺南市安南區本田路三段740、742號1樓,23.0486185,120.1709728
統一超商股份有限公司,台南市第四四一分公司,臺南市安南區原佃里怡安路二段150、152、156號1樓,23.0439232,120.1988163
統一超商股份有限公司,新北市第一四六八分公司,新北市三重區中華路45、47號,25.0619213,121.4836351
統一超商股份有限公司,宜蘭縣第一五一分公司,宜蘭縣頭城鎮濱海路五段450、452號,24.9414478,121.9002201
統一超商股份有限公司,新北市第一四六七分公司,新北市板橋區華東街270號1樓,25.0018188,121.4532061
統一超商股份有限公司,台南市第四四二分公司,臺南市新營區復興路1039號1樓,23.3092379,120.2828655
統一超商股份有限公司,新北市第一三００分公司,新北市汐止區康寧街326號1樓,25.0673495,121.6273096
統一超商股份有限公司,新北市第一四七０分公司,新北市新莊區新豐街46、48號1樓,25.0340062,121.4476061
統一超商股份有限公司,新北市第一四六九分公司,新北市板橋區文化路一段393號1、2樓,25.02201,121.467078
統一超商股份有限公司,新北市第一四七一分公司,新北市三重區成功二街50、52號,25.0498996,121.4872672
統一超商股份有限公司,高雄市第一四○分公司,高雄市大寮區中庄里鳳屏一路564、566號1樓,22.6372728,120.3946105
統一超商股份有限公司,高雄市第三九一分公司,高雄市彌陀區彌靖里中正路２４６號１樓,22.7840551,120.2481294
全家便利商店股份有限公司,彰化縣第一三六分公司,彰化縣彰化市下廍里建國西街101號,24.0943396,120.5457132
全家便利商店股份有限公司,台中市第七三八分公司,臺中市沙鹿區斗抵里斗潭路308號,24.2279448,120.5559049
全家便利商店股份有限公司,新北市第一○九二分公司,新北市中和區秀明里景平路258號1樓,24.9927011,121.5151204
全家便利商店股份有限公司,新北市第一○九四分公司,新北市新莊區立廷里中平路377巷2號、6號1樓,25.0526555,121.4443221
全家便利商店股份有限公司,新北市第一○九○分公司,新北市淡水區民生里民生路119號1樓,25.1388477,121.4650489
全家便利商店股份有限公司,新北市第一○九五分公司,新北市鶯歌區建國里光明街177號、179號,24.955703,121.3436474
全家便利商店股份有限公司,新北市第一○九三分公司,新北市板橋區溪頭里環河西路四段1761號、 1763號1樓,25.0254104,121.456552
全家便利商店股份有限公司,新竹縣第一五○分公司,新竹縣竹北市興安里嘉勤北路1號1樓,24.82633,121.0174904
全家便利商店股份有限公司,新竹縣第一四九分公司,新竹縣新埔鎮田新里福德街588號1樓,24.8261419,121.07443
全家便利商店股份有限公司,台中市第七四○分公司,臺中市烏日區三和里高鐵路一段41號,24.1064589,120.6019664
全家便利商店股份有限公司,新北市第一○九六分公司,新北市三重區五華里五華街83號、85號1樓,25.083211,121.4921994
全家便利商店股份有限公司,台南市第二九○分公司,臺南市永康區網寮里永二街140號,23.0174652,120.2534093
全家便利商店股份有限公司,台中市第七三九分公司,臺中市北區文莊里中清路一段81號、83號、85號,24.1561078,120.6766331
全家便利商店股份有限公司,花蓮縣第一一三分公司,花蓮縣新城鄉嘉里村嘉里三街80之1號,24.0180476,121.6064673
全家便利商店股份有限公司,新北市第一○九七分公司,新北市林口區林口里中正路51號、53號1樓,25.0774101,121.3955469
全家便利商店股份有限公司,高雄市第四二五分公司,高雄市路竹區竹東里中興路140號、142號、146號,22.8583761,120.2619858
全家便利商店股份有限公司,南投縣第一一五分公司,南投縣草屯鎮富寮里富中路185號,23.9740122,120.7049444
全家便利商店股份有限公司,台北市第七五五分公司,臺北市北投區立農里西安街二段203號1樓,25.1197404,121.5100101
全家便利商店股份有限公司,桃園市第四九八分公司,桃園市桃園區永安里中正路509號1樓、2樓,25.0025725,121.3058912
萊爾富國際股份有限公司,第五0三一分公司,桃園市龜山區文化七路55號1樓,25.0521621,121.3620924
萊爾富國際股份有限公司,第五0四一分公司,新竹縣北埔鄉正德街32號1樓,24.7019803,121.0560085
萊爾富國際股份有限公司,第五0四九分公司,宜蘭縣五結鄉中興路3段69號1樓,24.6927594,121.771658
全聯實業股份有限公司,台北北投分公司,臺北市北投路２段１１號地下１樓,25.1305339,121.498764
全聯實業股份有限公司,彰化鹿港分公司,彰化縣鹿港鎮復興路210號,24.0549039,120.4383174
全聯實業股份有限公司,花蓮國聯分公司,花蓮縣花蓮市國聯二路110號,23.9888393,121.6019989
全聯實業股份有限公司,花蓮玉里分公司,花蓮縣玉里鎮和平路92號,23.3334477,121.3141784
全聯實業股份有限公司,豐原成功分公司,臺中市豐原區成功路198號,24.2459381,120.7088179
全聯實業股份有限公司,台中大智分公司,臺中市東區大智路３５０巷２號１樓,24.1292858,120.6900482
全聯實業股份有限公司,霧峰民生分公司,臺中市霧峰區民生路75號1樓,24.0645293,120.7001076
全聯實業股份有限公司,台中沙鹿分公司,臺中市沙鹿區大同街119-1號1樓,24.2394263,120.5589554
全聯實業股份有限公司,新營復興分公司,臺南市新營區復興路150-3號1樓,23.3032453,120.3079561
全聯實業股份有限公司,基隆七堵分公司,基隆市七堵區南興路106號,25.0965557,121.7122079
全聯實業股份有限公司,內湖港墘分公司,臺北市內湖區港墘路127巷10號地下1層,25.0778967,121.5769332
全聯實業股份有限公司,花蓮光復分公司,花蓮縣光復鄉中山路2段299-1、299-2號1樓,23.6677427,121.4243673
全聯實業股份有限公司,台中大墩分公司,臺中市西屯區臺灣大道二段799號,24.1605591,120.6536515
全聯實業股份有限公司,沙鹿中山分公司,臺中市沙鹿區鹿寮里中山路434號1樓,24.243908,120.562252
全聯實業股份有限公司,斗六莊敬分公司,雲林縣斗六市林頭里莊敬路43號,23.7038424,120.5505914
全聯實業股份有限公司,雲林虎尾分公司,雲林縣虎尾鎮光復路503-8號1樓,23.7114195,120.4331295
全聯實業股份有限公司,嘉義吳鳳分公司,嘉義市東區吳鳳南路529號1樓,23.4611607,120.4571606
全聯實業股份有限公司,鳳山光復分公司,高雄市鳳山區光復路107號,22.6289577,120.3593666
全聯實業股份有限公司,蘆洲民族分公司,新北市蘆洲區水湳街74號1、2樓,25.0899966,121.4704277
